journals/cie,ACM Computers in Entertainment,B,https://dblp.uni-trier.de/db/journals/cie
journals/csur,ACM Computing Surveys,A*,https://dblp.uni-trier.de/db/journals/csur
journals/talg,ACM Transactions on Algorithms,A,https://dblp.uni-trier.de/db/journals/talg
journals/tap,ACM Transactions on Applied Perception,B,https://dblp.uni-trier.de/db/journals/tap
journals/taco,ACM Transactions on Architecture and Code Optimization,B,https://dblp.uni-trier.de/db/journals/taco
journals/talip,ACM Transactions on Asian Language Information Processing,B,https://dblp.uni-trier.de/db/journals/talip
journals/taas,ACM Transactions on Autonomous and Adaptive Systems,B,https://dblp.uni-trier.de/db/journals/taas
journals/tocl,ACM Transactions on Computational Logic,A,https://dblp.uni-trier.de/db/journals/tocl
journals/tochi,ACM Transactions on Computer - Human Interaction,A*,https://dblp.uni-trier.de/db/journals/tochi
journals/tocs,ACM Transactions on Computer Systems,A*,https://dblp.uni-trier.de/db/journals/tocs
journals/tods,ACM Transactions on Database Systems,A*,https://dblp.uni-trier.de/db/journals/tods
journals/todaes,ACM Transactions on Design Automation of Electronic Systems,not primarily CS,https://dblp.uni-trier.de/db/journals/todaes
journals/tecs,ACM Transactions on Embedded Computing Systems,B,https://dblp.uni-trier.de/db/journals/tecs
journals/tog,ACM Transactions on Graphics,A*,https://dblp.uni-trier.de/db/journals/tog
journals/tois,ACM Transactions on Information Systems,A,https://dblp.uni-trier.de/db/journals/tois
journals/toit,ACM Transactions on Internet Technology,B,https://dblp.uni-trier.de/db/journals/toit
journals/tkdd,ACM Transactions on Knowledge Discovery from Data,B,https://dblp.uni-trier.de/db/journals/tkdd
journals/toms,ACM Transactions on Mathematical Software,A*,https://dblp.uni-trier.de/db/journals/toms
journals/tomacs,ACM Transactions on Modeling and Computer Simulation,B,https://dblp.uni-trier.de/db/journals/tomacs
journals/tomccap,ACM Transactions on Multimedia Computing Communications and Applications,B,https://dblp.uni-trier.de/db/journals/tomccap
journals/tissec,"ACM Transactions on Privacy and Security (was ACM Transactions on Information and System Security, TISSEC pre 2018)",A,https://dblp.uni-trier.de/db/journals/tissec
journals/toplas,ACM Transactions on Programming Languages and Systems,A*,https://dblp.uni-trier.de/db/journals/toplas
journals/tosn,ACM Transactions on Sensor Networks,C,https://dblp.uni-trier.de/db/journals/tosn
journals/tosem,ACM Transactions on Software Engineering and Methodology,A*,https://dblp.uni-trier.de/db/journals/tosem
journals/tslp,ACM Transactions on Speech and Language Processing,B,https://dblp.uni-trier.de/db/journals/tslp
journals/tos,ACM Transactions on Storage,B,https://dblp.uni-trier.de/db/journals/tos
journals/tweb,ACM Transactions on the Web,B,https://dblp.uni-trier.de/db/journals/tweb
journals/actaC,Acta Cybernetica,C,https://dblp.uni-trier.de/db/journals/actaC
journals/acta,Acta Informatica,B,https://dblp.uni-trier.de/db/journals/acta
journals/ar,Advanced Robotics,B,https://dblp.uni-trier.de/db/journals/ar
journals/aans,Advances in Artificial Neural Systems,Not ranked,https://dblp.uni-trier.de/db/journals/aans
journals/amco,Advances in Mathematics of Commmunications,B,https://dblp.uni-trier.de/db/journals/amco
journals/ais,AI and Society: the journal of human-centered systems and machine intelligence,C,https://dblp.uni-trier.de/db/journals/ais
journals/aicom,AI Communications: the European journal on artificial intelligence,B,https://dblp.uni-trier.de/db/journals/aicom
journals/aim,AI Magazine,C,https://dblp.uni-trier.de/db/journals/aim
journals/algorithmica,Algorithmica: an international journal in computer science,A*,https://dblp.uni-trier.de/db/journals/algorithmica
journals/amai,Annals of Mathematics and Artificial Intelligence,C,https://dblp.uni-trier.de/db/journals/amai
journals/anor,Annals of Operations Research,B,https://dblp.uni-trier.de/db/journals/anor
journals/arist,Annual Review of Information Science and Technology,A*,https://dblp.uni-trier.de/db/journals/arist
journals/aai,Applied Artificial Intelligence: an international journal,B,https://dblp.uni-trier.de/db/journals/aai
journals/apin,Applied Intelligence,B,https://dblp.uni-trier.de/db/journals/apin
journals/ao,Applied Ontology,C,https://dblp.uni-trier.de/db/journals/ao
journals/asc,Applied Soft Computing,C,https://dblp.uni-trier.de/db/journals/asc
journals/arscom,Ars Combinatoria,C,https://dblp.uni-trier.de/db/journals/arscom
